Name,Price,Category,Article Number,Images,URL
"RAPAX Sport Black Oxide","2'950.00","Weapons > RAPAX > RAPAX > RX Sport","DEX-PIS-RPS-9mm-BLO-00123","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45323/Rapax-Sport-Black-1.jpg?v=1760644491","https://shop.ravenweapon.ch/en/products/rapax-sport-black-oxide-159110"
"RAPAX Sport Duotone / Partial Cerakote","2'950.00","Weapons > RAPAX > RAPAX > RX Sport","DEX-PIS-RPS-9mm-DPC-00125","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-sport-duotone-partial-cerakote-159112"
"RAPAX Sport Complete Cerakote","3'150.00","Weapons > RAPAX > RAPAX > RX Sport","DEX-PIS-RPS-9mm-CPC-00126","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-sport-complete-cerakote-159113"
"RAPAX Sport Partial DLC","3'300.00","Weapons > RAPAX > RAPAX > RX Sport","DEX-PIS-RPS-9mm-PDL-00127","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-sport-partial-dlc-159114"
"RAPAX Sport Total DLC","3'500.00","Weapons > RAPAX > RAPAX > RX Sport","DEX-PIS-RPS-9mm-TDL-00128","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-sport-total-dlc-159115"
"RAPAX Sport Black Nickel","2'950.00","Weapons > RAPAX > RAPAX > RX Sport","DEX-PIS-RPS-9mm-BLN-00124","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45324/Rapax-Sport-Black-Nickel-Black-1.jpg?v=1760645993 | https://makaris-prod-public.s3.ewstorage.ch/45325/Rapax-Sport-Black-Nickel-Black-2.jpg?v=1760646002 | https://makaris-prod-public.s3.ewstorage.ch/45326/Rapax-Sport-Black-Nickel-Black-3.jpg?v=1760646011","https://shop.ravenweapon.ch/en/products/rapax-sport-black-nickel-159111"
"RAPAX Tactical Complete Cerakote","3'150.00","Weapons > RAPAX > RAPAX > RX Tactical","DEX-PIS-RPT-9mm-CPC-00132","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-tactical-complete-cerakote-159120"
"RAPAX Tactical Partial DLC","3'300.00","Weapons > RAPAX > RAPAX > RX Tactical","DEX-PIS-RPT-9mm-PDL-00133","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-tactical-partial-dlc-159121"
"RAPAX Tactical Total DLC","3'500.00","Weapons > RAPAX > RAPAX > RX Tactical","DEX-PIS-RPT-9mm-TDL-00134","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-tactical-total-dlc-159122"
"RAPAX Tactical Black Oxide","2'950.00","Weapons > RAPAX > RAPAX > RX Tactical","DEX-PIS-RPT-9mm-BLO-00129","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45518/_MG_8689-DLC-maschera.jpg?v=1760992950","https://shop.ravenweapon.ch/en/products/rapax-tactical-black-oxide-159117"
"RAPAX Tactical Black Nickel","2'950.00","Weapons > RAPAX > RAPAX > RX Tactical","DEX-PIS-RPT-9mm-BLN-00130","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-tactical-black-nickel-159118"
"RAPAX Tactical Duotone / Partial Cerakote","2'950.00","Weapons > RAPAX > RAPAX > RX Tactical","DEX-PIS-RPT-9mm-DPC-00131","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-tactical-duotone-partial-cerakote-159119"
"RAPAX II COMPACT Black Oxide","2'950.00","Weapons > RAPAX > RAPAX > RX Compact","DEX-PIS-RPC-9mm-BLO-00135","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/product.png","https://shop.ravenweapon.ch/en/products/rapax-ii-compact-black-oxide-159123"
"RAPAX II COMPACT Black Nickel","2'950.00","Weapons > RAPAX > RAPAX > RX Compact","DEX-PIS-RPC-9mm-BLN-00136","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-ii-compact-black-nickel-159124"
"RAPAX II COMPACT Black Oxide","2'950.00","Weapons > RAPAX > RAPAX > RX Compact","DEX-PIS-RPC-9mm-DPC-00137","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-ii-compact-black-oxide-159125"
"RAPAX II COMPACT Complete Cerakote","3'150.00","Weapons > RAPAX > RAPAX > RX Compact","DEX-PIS-RPC-9mm-CPC-00138","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-ii-compact-complete-cerakote-159126"
"RAPAX II COMPACT Partial DLC","3'300.00","Weapons > RAPAX > RAPAX > RX Compact","DEX-PIS-RPC-9mm-PDL-00139","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-ii-compact-partial-dlc-159127"
"RAPAX II COMPACT Total DLC","3'500.00","Weapons > RAPAX > RAPAX > RX Compact","DEX-PIS-RPC-9mm-TDL-00140","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/variant.png","https://shop.ravenweapon.ch/en/products/rapax-ii-compact-total-dlc-159128"
"CARACAL Lynx Sport Black Cerakote Grip (Gold)","3'972.00","Weapons > RAPAX > Caracal Lynx > LYNX SPORT","DEX-PIS-CRS-9mm-BLG-00144","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://app.makaris.ch/custom/img/layout/shared/placeholder/en/product.png","https://shop.ravenweapon.ch/en/products/caracal-lynx-sport-black-cerakote-grip-gold-159135"
"CARACAL Lynx Sport Duotone Desert-Black","3'575.00","Weapons > RAPAX > Caracal Lynx > LYNX SPORT","DEX-PIS-CRS-9mm-DDB-00145","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45353/Caracal-Sport-Duotone-Desert-Black.jpg?v=1760698803","https://shop.ravenweapon.ch/en/products/caracal-lynx-sport-duotone-desert-black-159136"
"CARACAL Lynx Sport Duotone Gold Black","3'675.00","Weapons > RAPAX > Caracal Lynx > LYNX SPORT","DEX-PIS-CRS-9mm-DGB-00146","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45355/2011-IDEX23-GOLD-BLACK1.jpg?v=1760698966","https://shop.ravenweapon.ch/en/products/caracal-lynx-sport-duotone-gold-black-159138"
"CARACAL Lynx Sport Black Nickel","3'500.00","Weapons > RAPAX > Caracal Lynx > LYNX SPORT","DEX-PIS-CRS-9mm-BLN-00147","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45356/Caracal-Sport-Black-Nickel-Black-1.jpg?v=1760699059","https://shop.ravenweapon.ch/en/products/caracal-lynx-sport-black-nickel-159139"
"CARACAL Lynx Sport Black Oxyde","3'500.00","Weapons > RAPAX > Caracal Lynx > LYNX SPORT","DEX-PIS-CRS-9mm-BLO-00148","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45359/Caracal-Sport-Black-1.jpg?v=1760699233 | https://makaris-prod-public.s3.ewstorage.ch/45360/Caracal-Sport-Black-2.jpg?v=1760699238 | https://makaris-prod-public.s3.ewstorage.ch/45361/Caracal-Sport-Black-3.jpg?v=1760699243","https://shop.ravenweapon.ch/en/products/caracal-lynx-sport-black-oxyde-159140"
"CARACAL Lynx Sport Desert Tan","4'200.00","Weapons > RAPAX > Caracal Lynx > LYNX SPORT","DEX-PIS-CRS-9mm-DET-00149","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45363/Caracal-Sport-Desert-Tan.jpg?v=1760699344 | https://makaris-prod-public.s3.ewstorage.ch/45364/Caracal-Sport-Desert-Tan-2.jpg?v=1760699349","https://shop.ravenweapon.ch/en/products/caracal-lynx-sport-desert-tan-159142"
"CARACAL Lynx Compact Black Oxyde","3'500.00","Weapons > RAPAX > Caracal Lynx > LYNX COMPACT","DEX-PIS-CRC-9mm-BLO-00141","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45342/Caracal-Compact-Black-Oxyde-2.jpg?v=1760697908","https://shop.ravenweapon.ch/en/products/caracal-lynx-compact-black-oxyde-159130"
"CARACAL Lynx Compact Black Oxyde","3'500.00","Weapons > RAPAX > Caracal Lynx > LYNX COMPACT","DEX-PIS-CRC-9mm-BLN-00142","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45345/2011-IDEX-COMPACTBN-1.jpg?v=1760698283","https://shop.ravenweapon.ch/en/products/caracal-lynx-compact-black-oxyde-159131"
"CARACAL Lynx Compact Duotone","3'575.00","Weapons > RAPAX > Caracal Lynx > LYNX COMPACT","DEX-PIS-CRC-9mm-DUO-00143","https://makaris-prod-public.s3.ewstorage.ch/26210/raven-logo.png?v=1752587053 | https://makaris-prod-public.s3.ewstorage.ch/45344/Caracal-Compact-Duotone.jpg?v=1760698204","https://shop.ravenweapon.ch/en/products/caracal-lynx-compact-duotone-159132"